"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.10.2024","131.672","133.514","133.514","131.176","9,82M","-1,38%"
"02.10.2024","133.515","132.495","134.922","132.495","9,40M","0,77%"
"01.10.2024","132.495","131.817","133.405","131.817","9,84M","0,51%"
"30.09.2024","131.816","132.761","133.120","131.816","9,13M","-0,69%"
"27.09.2024","132.730","133.010","133.923","132.628","9,34M","-0,21%"
"26.09.2024","133.010","131.595","133.313","131.594","11,62M","1,08%"
"25.09.2024","131.586","132.156","132.982","131.489","10,53M","-0,43%"
"24.09.2024","132.156","130.570","133.073","130.570","9,37M","1,22%"
"23.09.2024","130.568","131.065","131.065","130.100","9,14M","-0,38%"
"20.09.2024","131.065","133.121","133.128","130.907","13,61M","-1,55%"
"19.09.2024","133.123","133.748","134.759","133.123","9,25M","-0,47%"
"18.09.2024","133.748","134.960","135.203","133.748","9,79M","-0,90%"
"17.09.2024","134.960","135.118","135.118","134.180","7,31M","-0,12%"
"16.09.2024","135.118","134.885","135.715","134.870","6,71M","0,18%"
"13.09.2024","134.882","134.031","135.879","134.031","8,87M","0,64%"
"12.09.2024","134.029","134.677","134.777","133.591","7,00M","-0,48%"
"11.09.2024","134.677","134.319","135.087","133.757","7,95M","0,27%"
"10.09.2024","134.320","134.738","134.738","133.754","8,25M","-0,31%"
"09.09.2024","134.737","134.574","135.250","134.399","6,59M","0,12%"
"06.09.2024","134.572","136.508","136.653","134.476","7,56M","-1,41%"
"05.09.2024","136.502","136.112","136.656","135.959","7,53M","0,29%"
"04.09.2024","136.111","134.359","136.838","134.359","9,42M","1,31%"
"03.09.2024","134.353","134.907","135.011","134.171","8,80M","-0,41%"
